Kind,Name,File,CountOutput,CountPath,CountInput
Function,ap_find_list_item,util.c,2,1,3
Static Function,ap_find_loaded_module_symbol,mod_so.c,2,3,10
Function,ap_find_module_name,config.c,1,1,2
Function,ap_find_module_short_name,config.c,1,2,4
Function,ap_find_path_info,util_script.c,2,16,5
Function,ap_find_token,util.c,2,16,7
Function,ap_fini_vhost_config,vhost.c,17,296,17
Function,ap_fixup_virtual_hosts,config.c,11,33,12
Function,ap_flush_conn,connection.c,1,1,3
Function,ap_fprintf,util_filter.c,4,1,5
Function,ap_fputstrs,util_filter.c,4,1,4
Function,ap_get_basic_auth_components,protocol.c,8,10,6
Function,ap_get_basic_auth_pw,protocol.c,15,8,13
Function,ap_get_brigade,util_filter.c,2,2,37
Function,ap_get_client_block,http_filters.c,10,10,16
Function,ap_get_conn_module_loglevel,util_debug.c,1,2,7
Function,ap_get_conn_server_module_loglevel,util_debug.c,1,2,8
Function,ap_get_conn_socket,core.c,1,1,10
Function,ap_get_core_module_config,util_debug.c,1,1,1
Function,ap_get_exec_line,util.c,12,9,6
Function,ap_get_input_filter_handle,util_filter.c,2,1,4
Function,ap_get_limit_req_body,core.c,1,2,5
Function,ap_get_limit_xml_body,core.c,1,2,4
Function,ap_get_list_item,util.c,4,23,6
Function,ap_get_loadavg,util.c,5,8,2
Function,ap_get_local_host,util.c,8,9,3
Function,ap_get_mime_headers,protocol.c,3,1,5
Function,ap_get_mime_headers_core,protocol.c,15,106,18
Function,ap_get_module_config,util_debug.c,1,1,3
Function,ap_get_module_flags,util_debug.c,1,2,5
Function,ap_get_output_filter_handle,util_filter.c,2,1,4
Function,ap_get_protocol,protocol.c,2,1,6
Function,ap_get_protocol_upgrades,protocol.c,7,12,13
Function,ap_get_remote_host,core.c,7,378,14
Function,ap_get_remote_logname,core.c,2,3,9
Function,ap_get_request_module_loglevel,util_debug.c,1,2,9
Function,ap_get_request_note,core.c,1,3,6
Function,ap_get_scoreboard_global,scoreboard.c,1,1,3
Function,ap_get_scoreboard_process,scoreboard.c,1,2,9
Function,ap_get_scoreboard_worker,scoreboard.c,2,2,3
Function,ap_get_scoreboard_worker_from_indexes,scoreboard.c,1,2,8
Function,ap_get_server_banner,core.c,1,1,8
Function,ap_get_server_built,buildmark.c,1,1,7
Function,ap_get_server_description,core.c,1,1,9
Function,ap_get_server_module_loglevel,util_debug.c,1,2,5
Function,ap_get_server_name,core.c,6,7,31
Function,ap_get_server_name_for_url,core.c,4,2,8
Function,ap_get_server_port,core.c,3,6,29
Function,ap_get_server_protocol,core.c,1,1,5
Function,ap_get_server_revision,core.c,5,1,1
Function,ap_get_sload,util.c,7,28,11
Function,ap_get_status_line,http_protocol.c,2,1,7
Function,ap_get_token,util.c,4,20,7
Function,ap_get_useragent_host,core.c,8,253,21
Function,ap_getline,protocol.c,4,4,9
Function,ap_getparents,util.c,1,720,4
Function,ap_getword,util.c,3,6,23
Function,ap_getword_conf,util.c,4,34,61
Function,ap_getword_conf2,util.c,5,84,4
Function,ap_getword_conf2_nc,util.c,2,1,2
Function,ap_getword_conf_nc,util.c,2,1,3
Function,ap_getword_nc,util.c,2,1,4
Function,ap_getword_nulls,util.c,4,2,9
Function,ap_getword_nulls_nc,util.c,2,1,3
Function,ap_getword_white,util.c,4,4,9
Function,ap_getword_white_nc,util.c,2,1,2
Function,ap_global_mutex_create,util_mutex.c,11,8,16
Function,ap_gname2id,mpm_common.c,5,4,8
Static Function,ap_headers_early,mod_headers.c,3,27,20
Static Function,ap_headers_error_filter,mod_headers.c,5,2,15
Static Function,ap_headers_fixup,mod_headers.c,2,2,8
Static Function,ap_headers_insert_error_filter,mod_headers.c,1,2,8
Static Function,ap_headers_insert_output_filter,mod_headers.c,1,2,9
Static Function,ap_headers_output_filter,mod_headers.c,5,2,17
Function,ap_hook_access_checker,request.c,11,4,11
Function,ap_hook_access_checker_ex,request.c,11,4,10
Function,ap_hook_auth_checker,request.c,11,4,10
Function,ap_hook_check_access,request.c,2,2,7
Function,ap_hook_check_access_ex,request.c,2,2,7
Function,ap_hook_check_authn,request.c,2,2,10
Function,ap_hook_check_authz,request.c,2,2,7
Function,ap_hook_check_config,config.c,11,4,15
Function,ap_hook_check_user_id,request.c,11,4,10
Function,ap_hook_child_init,config.c,11,4,22
Function,ap_hook_child_status,mpm_common.c,11,4,10
Function,ap_hook_create_connection,connection.c,11,4,10
Function,ap_hook_create_request,request.c,11,4,11
Function,ap_hook_default_port,protocol.c,11,4,10
Function,ap_hook_dirwalk_stat,request.c,11,4,10
Function,ap_hook_drop_privileges,mpm_common.c,11,4,10
Function,ap_hook_end_generation,mpm_common.c,11,4,9
Function,ap_hook_error_log,log.c,11,4,9
Function,ap_hook_expr_lookup,util_expr_eval.c,11,4,11
Function,ap_hook_fixups,request.c,11,4,24
Function,ap_hook_force_authn,request.c,11,4,9
Function,ap_hook_generate_log_id,log.c,11,4,11
Function,ap_hook_get_access_checker,request.c,1,1,3
Function,ap_hook_get_access_checker_ex,request.c,1,1,3
Function,ap_hook_get_auth_checker,request.c,1,1,3
Function,ap_hook_get_check_config,config.c,1,1,3
Function,ap_hook_get_check_user_id,request.c,1,1,3
Function,ap_hook_get_child_init,config.c,1,1,3
Function,ap_hook_get_child_status,mpm_common.c,1,1,3
Function,ap_hook_get_create_connection,connection.c,1,1,3
Function,ap_hook_get_create_request,request.c,1,1,3
Function,ap_hook_get_default_port,protocol.c,1,1,3
Function,ap_hook_get_dirwalk_stat,request.c,1,1,2
Function,ap_hook_get_drop_privileges,mpm_common.c,1,1,3
Function,ap_hook_get_end_generation,mpm_common.c,1,1,3
Function,ap_hook_get_error_log,log.c,1,1,3
Function,ap_hook_get_expr_lookup,util_expr_eval.c,1,1,3
Function,ap_hook_get_fixups,request.c,1,1,3
Function,ap_hook_get_force_authn,request.c,1,1,2
Function,ap_hook_get_generate_log_id,log.c,1,1,3
Function,ap_hook_get_get_mgmt_items,core.c,1,1,3
Function,ap_hook_get_get_suexec_identity,unixd.c,1,1,2
Function,ap_hook_get_handler,config.c,1,1,4
Function,ap_hook_get_header_parser,config.c,1,1,3
Function,ap_hook_get_http_scheme,protocol.c,1,1,3
